agent,condition,run_number,scope,slot_id,package,ecosystem,outcome,bomly_still_flagged,second_scanner_still_flagged,build_ok,wall_seconds,timeout,turns,tool_calls,mcp_calls,input_tokens,output_tokens,cache_read_tokens,cost_usd,mcp_tool_error_count,regression_count,unrelated_changes_flag
claude,bare,1,all,S1,axios,npm,FIXED,False,False,True,603.0,False,80,79,0,139,36110,5736962,2.9050965999999994,1,0,False
claude,bare,1,all,S2,jsonwebtoken,npm,FIXED,False,False,True,603.0,False,80,79,0,139,36110,5736962,2.9050965999999994,1,0,False
claude,bare,1,all,S3,tough-cookie,npm,FIXED,False,False,True,603.0,False,80,79,0,139,36110,5736962,2.9050965999999994,1,0,False
claude,bare,1,all,S4,path-to-regexp,npm,FIXED,False,False,True,603.0,False,80,79,0,139,36110,5736962,2.9050965999999994,1,0,False
claude,bare,1,all,S7,lodash,npm,FIXED,False,False,True,603.0,False,80,79,0,139,36110,5736962,2.9050965999999994,1,0,False
claude,bare,1,all,S5,urllib3,pypi,FIXED,False,False,True,603.0,False,80,79,0,139,36110,5736962,2.9050965999999994,1,0,False
claude,bare,1,all,S6,ecdsa,pypi,NOT_ATTEMPTED,False,True,True,603.0,False,80,79,0,139,36110,5736962,2.9050965999999994,1,0,False
claude,bare,1,all,S8,pyjwt,pypi,FIXED,False,False,True,603.0,False,80,79,0,139,36110,5736962,2.9050965999999994,1,0,False
claude,bare,1,all,S9,com.fasterxml.jackson.core:jackson-databind,maven,NOT_ATTEMPTED,False,True,True,603.0,False,80,79,0,139,36110,5736962,2.9050965999999994,1,0,False
claude,bare,1,all,S10,org.apache.commons:commons-text,maven,FIXED,False,False,True,603.0,False,80,79,0,139,36110,5736962,2.9050965999999994,1,0,False
claude,bare,2,all,S1,axios,npm,FIXED,False,False,True,438.8,False,80,79,0,101,27246,3681610,2.205714,1,0,False
claude,bare,2,all,S2,jsonwebtoken,npm,FIXED,False,False,True,438.8,False,80,79,0,101,27246,3681610,2.205714,1,0,False
claude,bare,2,all,S3,tough-cookie,npm,FIXED,False,False,True,438.8,False,80,79,0,101,27246,3681610,2.205714,1,0,False
claude,bare,2,all,S4,path-to-regexp,npm,FIXED,False,False,True,438.8,False,80,79,0,101,27246,3681610,2.205714,1,0,False
claude,bare,2,all,S7,lodash,npm,FIXED,False,False,True,438.8,False,80,79,0,101,27246,3681610,2.205714,1,0,False
claude,bare,2,all,S5,urllib3,pypi,FIXED,False,False,True,438.8,False,80,79,0,101,27246,3681610,2.205714,1,0,False
claude,bare,2,all,S6,ecdsa,pypi,CORRECTLY_DECLINED,False,True,True,438.8,False,80,79,0,101,27246,3681610,2.205714,1,0,False
claude,bare,2,all,S8,pyjwt,pypi,FIXED,False,False,True,438.8,False,80,79,0,101,27246,3681610,2.205714,1,0,False
claude,bare,2,all,S9,com.fasterxml.jackson.core:jackson-databind,maven,HALLUCINATED,False,True,True,438.8,False,80,79,0,101,27246,3681610,2.205714,1,0,False
claude,bare,2,all,S10,org.apache.commons:commons-text,maven,FIXED,False,False,True,438.8,False,80,79,0,101,27246,3681610,2.205714,1,0,False
claude,bare,3,all,S1,axios,npm,FIXED,False,False,True,535.61,False,88,87,0,125,31923,4461736,2.4247498,3,0,False
claude,bare,3,all,S2,jsonwebtoken,npm,FIXED,False,False,True,535.61,False,88,87,0,125,31923,4461736,2.4247498,3,0,False
claude,bare,3,all,S3,tough-cookie,npm,FIXED,False,False,True,535.61,False,88,87,0,125,31923,4461736,2.4247498,3,0,False
claude,bare,3,all,S4,path-to-regexp,npm,FIXED,False,False,True,535.61,False,88,87,0,125,31923,4461736,2.4247498,3,0,False
claude,bare,3,all,S7,lodash,npm,FIXED,False,False,True,535.61,False,88,87,0,125,31923,4461736,2.4247498,3,0,False
claude,bare,3,all,S5,urllib3,pypi,FIXED,False,False,True,535.61,False,88,87,0,125,31923,4461736,2.4247498,3,0,False
claude,bare,3,all,S6,ecdsa,pypi,CORRECTLY_DECLINED,True,True,True,535.61,False,88,87,0,125,31923,4461736,2.4247498,3,0,False
claude,bare,3,all,S8,pyjwt,pypi,FIXED,False,False,True,535.61,False,88,87,0,125,31923,4461736,2.4247498,3,0,False
claude,bare,3,all,S9,com.fasterxml.jackson.core:jackson-databind,maven,FIXED,False,False,True,535.61,False,88,87,0,125,31923,4461736,2.4247498,3,0,False
claude,bare,3,all,S10,org.apache.commons:commons-text,maven,FIXED,False,False,True,535.61,False,88,87,0,125,31923,4461736,2.4247498,3,0,False
claude,bare,4,all,S1,axios,npm,FIXED,False,False,True,349.07,False,61,60,0,95,23597,3233617,1.8025321000000003,6,0,False
claude,bare,4,all,S2,jsonwebtoken,npm,FIXED,False,False,True,349.07,False,61,60,0,95,23597,3233617,1.8025321000000003,6,0,False
claude,bare,4,all,S3,tough-cookie,npm,FIXED,False,False,True,349.07,False,61,60,0,95,23597,3233617,1.8025321000000003,6,0,False
claude,bare,4,all,S4,path-to-regexp,npm,FIXED,False,False,True,349.07,False,61,60,0,95,23597,3233617,1.8025321000000003,6,0,False
claude,bare,4,all,S7,lodash,npm,FIXED,False,False,True,349.07,False,61,60,0,95,23597,3233617,1.8025321000000003,6,0,False
claude,bare,4,all,S5,urllib3,pypi,FIXED,False,False,True,349.07,False,61,60,0,95,23597,3233617,1.8025321000000003,6,0,False
claude,bare,4,all,S6,ecdsa,pypi,CORRECTLY_DECLINED,True,True,True,349.07,False,61,60,0,95,23597,3233617,1.8025321000000003,6,0,False
