agent,condition,run_number,scope,slot_id,package,ecosystem,outcome,bomly_still_flagged,second_scanner_still_flagged,build_ok,wall_seconds,timeout,turns,tool_calls,mcp_calls,input_tokens,output_tokens,cache_read_tokens,cost_usd,mcp_tool_error_count,regression_count,unrelated_changes_flag
claude,bare,1,api-java,S6,com.fasterxml.jackson.core:jackson-databind,maven,NOT_ATTEMPTED,True,True,False,667.75,False,66,65,0,127,41780,6115382,3.4946836,2,0,False
claude,bare,1,api-java,S9,com.nimbusds:nimbus-jose-jwt,maven,FIXED_BUILD_BROKEN,False,False,False,667.75,False,66,65,0,127,41780,6115382,3.4946836,2,0,False
claude,bare,1,api-java,S10,com.fasterxml.jackson.core:jackson-databind,maven,FIXED_BUILD_BROKEN,False,False,False,667.75,False,66,65,0,127,41780,6115382,3.4946836,2,0,False
claude,bare,1,service,S5,mako,pypi,NOT_ATTEMPTED,True,True,False,689.11,False,66,65,0,129,35780,5627074,2.8467591999999997,1,0,False
claude,bare,1,service,S8,pydantic,pypi,NOT_ATTEMPTED,True,True,False,689.11,False,66,65,0,129,35780,5627074,2.8467591999999997,1,0,False
claude,bare,1,webapp,S1,axios,npm,FIXED,False,False,True,195.76,False,49,48,0,61,15330,1585501,1.1211673000000002,0,0,False
claude,bare,1,webapp,S2,jsonwebtoken,npm,FIXED,False,False,True,195.76,False,49,48,0,61,15330,1585501,1.1211673000000002,0,0,False
claude,bare,1,webapp,S3,tough-cookie,npm,FIXED,False,False,True,195.76,False,49,48,0,61,15330,1585501,1.1211673000000002,0,0,False
claude,bare,1,webapp,S4,path-to-regexp,npm,FIXED,False,False,True,195.76,False,49,48,0,61,15330,1585501,1.1211673000000002,0,0,False
claude,bare,1,webapp,S7,lodash,npm,FIXED,False,False,True,195.76,False,49,48,0,61,15330,1585501,1.1211673000000002,0,0,False
claude,mcp,1,api-java,S6,com.fasterxml.jackson.core:jackson-databind,maven,NOT_ATTEMPTED,True,True,True,650.15,False,62,61,2,119,27261,5139545,2.624435500000001,3,0,False
claude,mcp,1,api-java,S9,com.nimbusds:nimbus-jose-jwt,maven,NOT_ATTEMPTED,True,True,True,650.15,False,62,61,2,119,27261,5139545,2.624435500000001,3,0,False
claude,mcp,1,api-java,S10,com.fasterxml.jackson.core:jackson-databind,maven,NOT_ATTEMPTED,True,True,True,650.15,False,62,61,2,119,27261,5139545,2.624435500000001,3,0,False
claude,mcp,1,service,S5,mako,pypi,FIXED_BUILD_BROKEN,False,False,False,633.3,False,57,56,4,105,32050,4353210,2.4217180000000003,2,0,False
claude,mcp,1,service,S8,pydantic,pypi,FIXED_BUILD_BROKEN,False,False,False,633.3,False,57,56,4,105,32050,4353210,2.4217180000000003,2,0,False
claude,mcp,1,webapp,S1,axios,npm,FIXED,False,False,True,318.09,False,51,50,7,85,22043,3039562,1.7225386000000003,0,0,False
claude,mcp,1,webapp,S2,jsonwebtoken,npm,FIXED,False,False,True,318.09,False,51,50,7,85,22043,3039562,1.7225386000000003,0,0,False
claude,mcp,1,webapp,S3,tough-cookie,npm,FIXED,False,False,True,318.09,False,51,50,7,85,22043,3039562,1.7225386000000003,0,0,False
claude,mcp,1,webapp,S4,path-to-regexp,npm,FIXED,False,False,True,318.09,False,51,50,7,85,22043,3039562,1.7225386000000003,0,0,False
claude,mcp,1,webapp,S7,lodash,npm,FIXED,False,False,True,318.09,False,51,50,7,85,22043,3039562,1.7225386000000003,0,0,False
codex,bare,1,api-java,S6,com.fasterxml.jackson.core:jackson-databind,maven,NOT_ATTEMPTED,True,True,True,797.56,False,1,57,0,5218938,24783,5012608,,0,0,False
codex,bare,1,api-java,S9,com.nimbusds:nimbus-jose-jwt,maven,FIXED,False,False,True,797.56,False,1,57,0,5218938,24783,5012608,,0,0,False
codex,bare,1,api-java,S10,com.fasterxml.jackson.core:jackson-databind,maven,FIXED,False,False,True,797.56,False,1,57,0,5218938,24783,5012608,,0,0,False
codex,bare,1,service,S5,mako,pypi,FIXED,False,False,True,949.26,False,1,63,0,5771716,17851,5581184,,0,0,False
codex,bare,1,service,S8,pydantic,pypi,FIXED,False,False,True,949.26,False,1,63,0,5771716,17851,5581184,,0,0,False
codex,bare,1,webapp,S1,axios,npm,FIXED,False,False,True,111.38,False,1,22,0,363098,4549,313600,,0,0,False
codex,bare,1,webapp,S2,jsonwebtoken,npm,FIXED,False,False,True,111.38,False,1,22,0,363098,4549,313600,,0,0,False
codex,bare,1,webapp,S3,tough-cookie,npm,FIXED,False,False,True,111.38,False,1,22,0,363098,4549,313600,,0,0,False
codex,bare,1,webapp,S4,path-to-regexp,npm,FIXED,False,False,True,111.38,False,1,22,0,363098,4549,313600,,0,0,False
codex,bare,1,webapp,S7,lodash,npm,FIXED,False,False,True,111.38,False,1,22,0,363098,4549,313600,,0,0,False
codex,mcp,1,api-java,S6,com.fasterxml.jackson.core:jackson-databind,maven,CORRECTLY_DECLINED,True,True,True,480.19,False,1,34,6,3099586,14608,2897152,,0,0,False
codex,mcp,1,api-java,S9,com.nimbusds:nimbus-jose-jwt,maven,FIXED,False,False,True,480.19,False,1,34,6,3099586,14608,2897152,,0,0,False
codex,mcp,1,api-java,S10,com.fasterxml.jackson.core:jackson-databind,maven,FIXED,False,False,True,480.19,False,1,34,6,3099586,14608,2897152,,0,0,False
codex,mcp,1,service,S5,mako,pypi,FIXED,False,False,True,740.94,False,1,68,2,5106177,16502,4922624,,0,0,False
codex,mcp,1,service,S8,pydantic,pypi,FIXED,False,False,True,740.94,False,1,68,2,5106177,16502,4922624,,0,0,False
codex,mcp,1,webapp,S1,axios,npm,FIXED,False,False,True,268.66,False,1,49,9,1660973,9708,1530112,,0,0,False
codex,mcp,1,webapp,S2,jsonwebtoken,npm,FIXED,False,False,True,268.66,False,1,49,9,1660973,9708,1530112,,0,0,False
codex,mcp,1,webapp,S3,tough-cookie,npm,FIXED,False,False,True,268.66,False,1,49,9,1660973,9708,1530112,,0,0,False
codex,mcp,1,webapp,S4,path-to-regexp,npm,FIXED,False,False,True,268.66,False,1,49,9,1660973,9708,1530112,,0,0,False
codex,mcp,1,webapp,S7,lodash,npm,FIXED,False,False,True,268.66,False,1,49,9,1660973,9708,1530112,,0,0,False
