agent,condition,run_number,scope,package,ecosystem,outcome,package_fixable_total,package_fixable_resolved,package_unfixable_total,package_unfixable_remaining,build_ok,run_completeness,run_fixable_total,run_fixable_resolved,wall_seconds,timeout,turns,tool_calls,mcp_calls,input_tokens,output_tokens,cache_read_tokens,cost_usd,mcp_tool_error_count,regression_count,unrelated_changes_flag
claude,bare,1,api-java,ch.qos.logback:logback-core,maven,RESOLVED_BUILD_BROKEN,6,6,0,0,False,0.9876543209876543,81,80,968.61,False,78,77,0,153,67399,9773081,5.0707047,0,0,False
claude,bare,1,api-java,com.fasterxml.jackson.core:jackson-core,maven,RESOLVED_BUILD_BROKEN,1,1,0,0,False,0.9876543209876543,81,80,968.61,False,78,77,0,153,67399,9773081,5.0707047,0,0,False
claude,bare,1,api-java,com.fasterxml.jackson.core:jackson-databind,maven,RESOLVED_BUILD_BROKEN,3,3,1,0,False,0.9876543209876543,81,80,968.61,False,78,77,0,153,67399,9773081,5.0707047,0,0,False
claude,bare,1,api-java,com.github.jknack:handlebars,maven,RESOLVED_BUILD_BROKEN,1,1,0,0,False,0.9876543209876543,81,80,968.61,False,78,77,0,153,67399,9773081,5.0707047,0,0,False
claude,bare,1,api-java,com.jayway.jsonpath:json-path,maven,RESOLVED_BUILD_BROKEN,1,1,0,0,False,0.9876543209876543,81,80,968.61,False,78,77,0,153,67399,9773081,5.0707047,0,0,False
claude,bare,1,api-java,com.mysql:mysql-connector-j,maven,RESOLVED_BUILD_BROKEN,1,1,0,0,False,0.9876543209876543,81,80,968.61,False,78,77,0,153,67399,9773081,5.0707047,0,0,False
claude,bare,1,api-java,com.nimbusds:nimbus-jose-jwt,maven,RESOLVED_BUILD_BROKEN,2,2,0,0,False,0.9876543209876543,81,80,968.61,False,78,77,0,153,67399,9773081,5.0707047,0,0,False
claude,bare,1,api-java,com.sun.mail:jakarta.mail,maven,RESOLVED_BUILD_BROKEN,1,1,0,0,False,0.9876543209876543,81,80,968.61,False,78,77,0,153,67399,9773081,5.0707047,0,0,False
claude,bare,1,api-java,commons-beanutils:commons-beanutils,maven,RESOLVED_BUILD_BROKEN,1,1,0,0,False,0.9876543209876543,81,80,968.61,False,78,77,0,153,67399,9773081,5.0707047,0,0,False
claude,bare,1,api-java,commons-fileupload:commons-fileupload,maven,RESOLVED_BUILD_BROKEN,2,2,0,0,False,0.9876543209876543,81,80,968.61,False,78,77,0,153,67399,9773081,5.0707047,0,0,False
